序号,期号,开奖日期,红球1,红球2,红球3,红球4,红球5,红球6,蓝球
1,2018050,2018-05-03,1,2,4,10,18,19,7
2,2018049,2018-05-01,1,3,4,11,19,23,2
3,2018048,2018-04-29,1,12,20,25,30,31,2
4,2018047,2018-04-26,6,7,12,16,22,25,7
5,2018046,2018-04-24,10,13,14,18,20,31,3
6,2018045,2018-04-22,3,4,6,25,26,30,1
7,2018044,2018-04-19,5,9,12,17,27,30,6
8,2018043,2018-04-17,1,4,6,8,21,24,7
9,2018042,2018-04-15,6,10,21,28,29,31,12
10,2018041,2018-04-12,7,8,20,23,24,32,13
11,2018040,2018-04-10,1,3,8,13,18,23,16
12,2018039,2018-04-08,8,12,18,19,23,32,3
13,2018038,2018-04-05,15,23,24,25,28,29,9
14,2018037,2018-04-03,1,6,7,8,27,30,10
15,2018036,2018-04-01,8,17,24,26,28,33,4
16,2018035,2018-03-29,7,10,11,17,23,28,15
17,2018034,2018-03-27,1,5,11,22,23,26,15
18,2018033,2018-03-25,4,19,20,22,28,33,6
19,2018032,2018-03-22,21,22,23,24,25,32,6
20,2018031,2018-03-20,2,16,18,19,27,30,14
21,2018030,2018-03-18,13,14,20,21,25,33,7
22,2018029,2018-03-15,1,2,9,14,22,25,5
23,2018028,2018-03-13,3,8,11,14,18,23,16
24,2018027,2018-03-11,2,7,9,14,18,28,5
25,2018026,2018-03-08,4,7,12,14,26,32,4
26,2018025,2018-03-06,4,13,16,19,21,25,14
27,2018024,2018-03-04,11,19,22,26,31,32,2
28,2018023,2018-03-01,12,15,16,21,26,29,16
29,2018022,2018-02-27,7,14,19,21,22,23,3
30,2018021,2018-02-25,3,4,6,11,23,28,14
31,2018020,2018-02-22,6,9,10,14,28,30,5
32,2018019,2018-02-13,3,11,12,16,21,23,9
33,2018018,2018-02-11,2,12,13,18,25,27,7
34,2018017,2018-02-08,3,6,11,26,30,32,12
35,2018016,2018-02-06,1,11,12,18,25,27,16
36,2018015,2018-02-04,11,15,20,21,26,33,15
37,2018014,2018-02-01,9,12,20,24,28,31,7
38,2018013,2018-01-30,6,8,13,15,22,33,6
39,2018012,2018-01-28,11,12,13,19,26,28,12
40,2018011,2018-01-25,3,10,21,23,27,33,11
41,2018010,2018-01-23,1,8,17,20,21,22,3
42,2018009,2018-01-21,5,10,17,23,26,32,7
43,2018008,2018-01-18,5,9,10,12,17,19,13
44,2018007,2018-01-16,13,14,20,25,27,31,12
45,2018006,2018-01-14,2,7,8,9,17,29,11
