序号	期号	开奖时间	开奖结果
1	2018050	2018-05-03	01,02,04,10,18,19\07
2	2018049	2018-05-01	01,03,04,11,19,23\02
3	2018048	2018-04-29	01,12,20,25,30,31\02
4	2018047	2018-04-26	06,07,12,16,22,25\07
5	2018046	2018-04-24	10,13,14,18,20,31\03
6	2018045	2018-04-22	03,04,06,25,26,30\01
7	2018044	2018-04-19	05,09,12,17,27,30\06
8	2018043	2018-04-17	01,04,06,08,21,24\07
9	2018042	2018-04-15	06,10,21,28,29,31\12
10	2018041	2018-04-12	07,08,20,23,24,32\13
11	2018040	2018-04-10	01,03,08,13,18,23\16
12	2018039	2018-04-08	08,12,18,19,23,32\03
13	2018038	2018-04-05	15,23,24,25,28,29\09
14	2018037	2018-04-03	01,06,07,08,27,30\10
15	2018036	2018-04-01	08,17,24,26,28,33\04
16	2018035	2018-03-29	07,10,11,17,23,28\15
17	2018034	2018-03-27	01,05,11,22,23,26\15
18	2018033	2018-03-25	04,19,20,22,28,33\06
19	2018032	2018-03-22	21,22,23,24,25,32\06
20	2018031	2018-03-20	02,16,18,19,27,30\14
21	2018030	2018-03-18	13,14,20,21,25,33\07
22	2018029	2018-03-15	01,02,09,14,22,25\05
23	2018028	2018-03-13	03,08,11,14,18,23\16
24	2018027	2018-03-11	02,07,09,14,18,28\05
25	2018026	2018-03-08	04,07,12,14,26,32\04
26	2018025	2018-03-06	04,13,16,19,21,25\14
27	2018024	2018-03-04	11,19,22,26,31,32\02
28	2018023	2018-03-01	12,15,16,21,26,29\16
29	2018022	2018-02-27	07,14,19,21,22,23\03
30	2018021	2018-02-25	03,04,06,11,23,28\14
31	2018020	2018-02-22	06,09,10,14,28,30\05
32	2018019	2018-02-13	03,11,12,16,21,23\09
33	2018018	2018-02-11	02,12,13,18,25,27\07
34	2018017	2018-02-08	03,06,11,26,30,32\12
35	2018016	2018-02-06	01,11,12,18,25,27\16
36	2018015	2018-02-04	11,15,20,21,26,33\15
37	2018014	2018-02-01	09,12,20,24,28,31\07
38	2018013	2018-01-30	06,08,13,15,22,33\06
39	2018012	2018-01-28	11,12,13,19,26,28\12
40	2018011	2018-01-25	03,10,21,23,27,33\11
41	2018010	2018-01-23	01,08,17,20,21,22\03
42	2018009	2018-01-21	05,10,17,23,26,32\07
43	2018008	2018-01-18	05,09,10,12,17,19\13
44	2018007	2018-01-16	13,14,20,25,27,31\12
45	2018006	2018-01-14	02,07,08,09,17,29\11
46	2018005	2018-01-11	02,20,21,28,31,33\06
47	2018004	2018-01-09	14,18,19,26,30,31\11
48	2018003	2018-01-07	01,14,16,17,20,31\04
49	2018002	2018-01-04	07,18,24,29,31,33\16
50	2018001	2018-01-02	01,08,11,26,28,31\04
51	2017154	2017-12-31	05,09,13,15,18,26\05
52	2017153	2017-12-28	07,11,12,13,18,19\16
53	2017152	2017-12-26	06,10,23,25,26,29\05
54	2017151	2017-12-24	02,05,07,09,11,27\16
55	2017150	2017-12-21	06,14,19,20,21,23\08
56	2017149	2017-12-19	05,08,15,20,27,30\13
57	2017148	2017-12-17	04,07,11,14,29,32\12
58	2017147	2017-12-14	03,07,20,21,25,31\14
59	2017146	2017-12-12	01,19,25,26,27,33\10
60	2017145	2017-12-10	02,06,12,17,25,28\12
61	2017144	2017-12-07	03,14,16,20,31,32\09
62	2017143	2017-12-05	04,06,09,14,20,29\14
63	2017142	2017-12-03	08,13,14,18,23,33\06
64	2017141	2017-11-30	01,06,07,11,13,15\05
65	2017140	2017-11-28	21,22,25,28,29,30\08
66	2017139	2017-11-26	02,14,20,24,28,32\16
67	2017138	2017-11-23	01,17,24,28,32,33\02
68	2017137	2017-11-21	05,10,20,23,26,31\03
69	2017136	2017-11-19	03,07,10,18,21,24\12
70	2017135	2017-11-16	01,06,07,14,18,26\16
71	2017134	2017-11-14	04,05,11,14,28,32\04
72	2017133	2017-11-12	06,15,17,18,23,30\11
73	2017132	2017-11-09	02,03,05,09,13,28\11
74	2017131	2017-11-07	01,07,10,11,26,27\11
75	2017130	2017-11-05	05,13,14,23,25,31\02
76	2017129	2017-11-02	05,06,09,14,21,33\02
77	2017128	2017-10-31	02,06,13,22,29,31\08
78	2017127	2017-10-29	14,15,21,24,27,32\12
79	2017126	2017-10-26	01,16,17,21,27,30\16
80	2017125	2017-10-24	01,14,23,25,29,30\03
81	2017124	2017-10-22	02,06,11,26,28,29\03
82	2017123	2017-10-19	04,05,06,11,21,31\10
83	2017122	2017-10-17	11,20,21,22,24,27\15
84	2017121	2017-10-15	11,18,19,22,24,32\07
85	2017120	2017-10-12	08,10,15,19,23,28\16
86	2017119	2017-10-10	09,16,21,25,26,31\14
87	2017118	2017-10-08	08,09,15,22,30,33\16
88	2017117	2017-10-05	01,02,08,11,14,21\09
89	2017116	2017-10-03	02,14,20,22,30,32\02
90	2017115	2017-10-01	04,10,11,25,30,31\01
91	2017114	2017-09-28	06,12,13,15,18,26\13
92	2017113	2017-09-26	04,06,16,27,29,33\05
93	2017112	2017-09-24	03,10,14,16,22,23\11
94	2017111	2017-09-21	05,10,17,19,29,32\12
95	2017110	2017-09-19	01,03,12,15,19,23\14
96	2017109	2017-09-17	08,14,16,18,21,23\16
97	2017108	2017-09-14	07,12,14,15,17,20\01
98	2017107	2017-09-12	08,09,15,17,30,32\06
99	2017106	2017-09-10	12,15,20,25,27,31\02
100	2017105	2017-09-07	03,06,07,12,25,26\07
101	2017104	2017-09-05	01,14,15,20,23,30\14
102	2017103	2017-09-03	01,21,23,25,31,33\01
103	2017102	2017-08-31	04,08,10,14,18,20\11
104	2017101	2017-08-29	01,04,11,28,31,32\16
105	2017100	2017-08-27	04,07,08,18,23,24\02
106	2017099	2017-08-24	02,05,06,16,28,29\04
107	2017098	2017-08-22	04,19,22,27,30,33\01
108	2017097	2017-08-20	05,10,18,19,30,31\03
109	2017096	2017-08-17	02,06,11,12,19,29\06
110	2017095	2017-08-15	09,10,12,19,22,29\16
111	2017094	2017-08-13	08,11,13,19,28,31\06
112	2017093	2017-08-10	07,08,09,15,22,27\12
113	2017092	2017-08-08	10,18,19,29,32,33\09
114	2017091	2017-08-06	05,07,10,23,28,29\03
115	2017090	2017-08-03	01,07,10,16,22,33\09
116	2017089	2017-08-01	11,12,13,16,23,25\12
117	2017088	2017-07-30	07,09,18,22,23,29\06
118	2017087	2017-07-27	03,06,13,14,19,28\06
119	2017086	2017-07-25	03,05,06,13,20,22\07
120	2017085	2017-07-23	01,05,06,16,25,30\09
121	2017084	2017-07-20	01,05,11,20,22,24\02
122	2017083	2017-07-18	03,08,14,20,24,26\12
123	2017082	2017-07-16	14,18,21,25,28,29\10
124	2017081	2017-07-13	03,05,14,25,26,30\05
125	2017080	2017-07-11	01,12,16,20,22,24\08
126	2017079	2017-07-09	03,07,14,23,25,27\08
127	2017078	2017-07-06	05,07,18,19,22,24\16
128	2017077	2017-07-04	01,02,04,15,17,22\14
